wavelength (nm),Absorbance
800.0008545,0.018761614
798.9932861,0.0188642
797.9852905,0.018788779
797.0115967,0.020897072
796.0027466,0.01940191
794.9935303,0.021787159
793.9839478,0.020984408
793.008728,0.020579638
791.998291,0.019895002
790.9873657,0.020098539
790.0111084,0.019941723
788.9993896,0.020378046
787.9874878,0.021917878
787.0100098,0.022936258
785.9971924,0.022444909
784.9839478,0.020228371
784.005249,0.021742333
782.991333,0.021283107
782.0119019,0.020368902
780.9971924,0.02188989
780.0170898,0.020104285
779.0015259,0.02012915
777.9855347,0.022838326
777.0042725,0.020313727
775.9875488,0.020665335
775.0054932,0.020601569
773.9880981,0.021933369
773.0053101,0.024309248
771.9870605,0.022700919
771.0036011,0.023938157
769.9844971,0.023861302
769.0003052,0.022243621
768.015686,0.023133062
766.9954834,0.023214839
766.0101929,0.022952823
764.9891968,0.023616662
764.0031128,0.023799501
763.0167236,0.023441795
761.9946289,0.023384096
761.0073853,0.02393947
759.9845581,0.02385515
758.9966431,0.02322235
758.0083618,0.023426196
756.984375,0.024994796
755.9954224,0.024327645
755.0060425,0.022986202
754.0163574,0.024537489
752.9909058,0.024184212
752.0004272,0.024594409
751.0096436,0.024978044
749.9830933,0.02524606
748.9915771,0.025412321
747.9996338,0.026988264
747.0073853,0.026259357
746.0148315,0.025225511
744.9863892,0.027280539
743.993103,0.025528653
742.9995117,0.025693897
742.0054321,0.027756253
741.0111084,0.027728412
740.0163574,0.027362468
738.9857788,0.026204912
737.9903564,0.027125077
736.9945679,0.028166113
735.9984741,0.028537519
735.0020142,0.028090606
734.005249,0.028319599
733.0079956,0.02901038
732.010498,0.028548023
731.0126953,0.028849456
730.0144653,0.028682508
729.0159302,0.02932116
728.0170288,0.030011816
727.0178223,0.030222343
725.9825439,0.031068895
724.982605,0.030282985
723.9822998,0.030732522
723.017395,0.031074457
722.0164795,0.031031832
721.0151978,0.030871158
720.0135498,0.031722598
719.0115356,0.032503642
718.0092773,0.032607995
717.0065918,0.032303497
716.0036621,0.03270204
715.0003052,0.033390801
713.9966431,0.032797087
712.9926147,0.033520281
711.9882813,0.034123275
710.9835815,0.034426615
710.0145264,0.034391981
709.0091553,0.034328915
708.003479,0.034100931
706.9974976,0.034883913
705.9911499,0.035378031
704.9844971,0.035984512
704.0134277,0.036788002
703.0060425,0.03603429
701.9984131,0.036455419
700.9904175,0.036911115
699.9821167,0.037081648
699.0094604,0.037434548
698.0004883,0.038077366
696.9912109,0.038018338
696.0176392,0.038372282
695.0076294,0.03954627
693.9973755,0.03821167
692.9867554,0.040056001
692.0119629,0.03952058
691.0006714,0.041000526
689.9891357,0.040874686
689.0133667,0.041288611
688.0011597,0.042680349
686.9885864,0.041792043
686.0118408,0.043400433
684.9987793,0.043684933
683.9852295,0.044000641
683.0075684,0.044190492
681.9934082,0.044909585
681.0151978,0.046078261
680.0003662,0.045749936
678.9853516,0.046206769
678.0062256,0.046681952
676.9904175,0.048672706
676.0106812,0.048722427
674.9943237,0.049771931
674.0139771,0.049446024
672.9970093,0.051368598
672.0160522,0.052159026
670.9984741,0.051548552
670.0168457,0.054214135
668.9986572,0.053884614
668.0165405,0.054955143
666.9976196,0.056184936
666.0148926,0.057686273
664.9953613,0.059603382
664.0120239,0.060119148
662.9919434,0.061603088
662.0079346,0.061929561
660.9873047,0.063998394
660.0027466,0.065635867
659.0178833,0.06743975
657.9962769,0.069574051
657.0108643,0.071133241
655.9885864,0.072828777
655.0026245,0.075984813
654.0162964,0.077558324
652.993103,0.081196956
652.0062866,0.082685709
650.9825439,0.084987737
649.9950562,0.088419974
649.0073242,0.092256047
647.982666,0.095532954
646.9943237,0.098169208
646.0057373,0.103120007
645.0167847,0.10623467
643.9909668,0.109733522
643.0014648,0.115706332
642.0117188,0.119319543
640.9849854,0.125042737
639.9946899,0.130815715
639.0039673,0.13608864
638.0131226,0.140539631
636.9852295,0.148008362
635.9937134,0.154876709
635.0020142,0.160615072
634.0099487,0.168389455
633.0176392,0.17480512
631.9882813,0.18122083
630.9954224,0.189368174
630.0022583,0.195791677
629.0087891,0.203041613
628.0151367,0.210803047
626.984314,0.218780711
625.9900513,0.225567952
624.9954834,0.232442066
624.0006104,0.238108248
623.0055542,0.243739352
622.0101929,0.249699369
621.0145264,0.254815906
619.9817505,0.260510296
618.9855347,0.264370948
617.9890137,0.269023716
616.9923096,0.273844212
615.9953003,0.276500553
614.9980469,0.279967785
614.0004272,0.282802373
613.0026245,0.285442859
612.0045166,0.287072837
611.0061035,0.288162261
610.0075073,0.288889706
609.0085449,0.290667445
608.0094604,0.291232705
607.0100098,0.290820777
606.0103149,0.292503089
605.0103149,0.291520715
604.0101318,0.29157421
603.0095825,0.291213483
602.0087891,0.29018712
601.0077515,0.289870918
600.0064697,0.288748145
599.0049438,0.289082557
598.0030518,0.287839562
597.0010376,0.287936002
595.9985962,0.287280589
594.9960327,0.28647238
593.9931641,0.287820429
592.9899902,0.286500365
591.9865723,0.288284421
