solution_concentration,polymer_mw,polymer_mn,polymer_dispersity,solution_treatment,substrate_pretreatment,post_process,channel_width,channel_length,film_deposition_type_spin,dielectric_material_SiO2,electrode_configuration_BGBC,electrode_configuration_BGTC,electrode_configuration_TGBC,gate_material_Other,film_deposition_type_MGC,dielectric_material_other,solvent_boiling_point,hole_mobility
4,299,90,3.32,0,0,1,1500,80,1,1,0,1,0,0,0,0,132,0.11
4,299,90,3.32,0,1,1,1500,80,1,1,0,1,0,0,0,0,132,0.29
4,299,90,3.32,0,1,1,1500,80,1,1,0,1,0,0,0,0,132,0.23
4,299,90,3.32,0,1,1,1500,80,1,1,0,1,0,0,0,0,132,0.73
4,299,90,3.32,0,1,1,1500,80,1,1,0,1,0,0,0,0,132,1.86
4,299,90,3.32,0,1,1,1500,80,1,1,0,1,0,0,0,0,132,0.21
4,299,90,3.32,0,1,1,1500,80,1,1,0,1,0,0,0,0,132,0.34
4,299,90,3.32,0,1,1,1500,80,1,1,0,1,0,0,0,0,132,0.24
4,299,90,3.32,0,1,1,1500,80,1,1,0,1,0,0,0,0,132,1.97
4,299,90,3.32,0,1,1,1500,80,1,1,0,1,0,0,0,0,132,0.69
4,299,90,3.32,0,1,1,1500,80,1,1,0,1,0,0,0,0,132,2.04
5,292.2,74.9,3.9,0,0,1,2000,50,1,1,1,0,0,0,0,0,62,0.81
5,501,110,4.55,0,1,1,4000,100,1,1,0,1,0,0,0,0,132,6.85
5,501,110,4.55,0,1,1,4000,125,1,1,0,1,0,0,0,0,132,7.25
5,501,110,4.55,0,1,1,1400,30,1,1,1,0,0,0,0,0,132,5.75
5,501,110,4.55,0,1,1,1400,40,1,1,1,0,0,0,0,0,132,7.95
5,501,110,4.55,0,1,1,1400,50,1,1,1,0,0,0,0,0,132,7.85
5,501,110,4.55,0,1,1,1400,50,1,1,1,0,0,0,0,0,132,0.15
5,501,110,4.55,0,1,1,1400,50,1,1,1,0,0,0,0,0,132,2.1
5,501,110,4.55,0,1,1,1400,50,1,1,1,0,0,0,0,0,132,9
5,501,110,4.55,0,1,1,4000,125,0,1,0,1,0,0,1,0,132,4.4
5,501,110,4.55,0,1,1,1400,125,0,1,0,1,0,0,1,0,132,2.65
5,501,110,4.55,0,1,1,7000,70,1,0,1,0,0,1,0,1,132,3.5
4,199,55,3.62,0,1,1,1500,80,1,1,0,1,0,0,0,0,180.1,1.16
6.5,91,29,3.14,0,0,1,3000,120,1,0,1,0,0,0,0,1,62,0.0003
6.5,91,29,3.14,0,0,1,3000,120,1,0,1,0,0,0,0,1,62,0.00085
6.5,91,29,3.14,0,0,1,3000,120,1,0,1,0,0,0,0,1,62,0.0035
6.5,91,29,3.14,0,0,1,3000,120,1,0,1,0,0,0,0,1,62,0.00057
6.5,91,29,3.14,0,0,1,3000,120,1,0,1,0,0,0,0,1,62,0.000095
