iter	RMSE
0	1.124456859
1	0.9140205648
2	0.8712473118
3	0.8540522498
4	0.8005686855
5	0.7896922568
6	0.7815944603
7	0.7769693028
8	0.774487775
9	0.7731935399
10	0.7726053889
11	0.7722206479
12	0.7720393375
13	0.7719471952
14	0.7718645173
15	0.7718275026
16	0.7718104068
17	0.7717963491
18	0.7717905533
19	0.7717859089
20	0.7717834871
21	0.7717820377
22	0.7717806669
23	0.7717799185
24	0.771779288
25	0.7717789793
26	0.7717787876
27	0.7717787084
28	0.7717786505
29	0.7717786162
30	0.7717785739
31	0.7717785375
32	0.7717784589
33	0.7717783984
34	0.7717783702
35	0.7717783596
36	0.7717783399
37	0.7717783308
38	0.7717783292
39	0.7717783226
40	0.7717783177
41	0.7717783114
42	0.7717783093
43	0.7717783078
44	0.7717783071
45	0.7717783067
46	0.7717783058
47	0.7717783052
48	0.7717783048
49	0.7717783042
50	0.7717783036
51	0.7717783033
52	0.7717783032
53	0.771778303
54	0.7717783029
55	0.7717783029
56	0.7717783028
57	0.7717783028
58	0.7717783028
59	0.7717783027
60	0.7717783026
61	0.7717783026
62	0.7717783025
63	0.7717783025
64	0.7717783025
65	0.7717783025
66	0.7717783025
67	0.7717783025
68	0.7717783025
69	0.7717783024
70	0.7717783024
71	0.7717783024
72	0.7717783024
73	0.7717783024
74	0.7717783024
75	0.7717783024
76	0.7717783024
77	0.7717783024
78	0.7717783024
79	0.7717783024
80	0.7717783024
81	0.7717783024
82	0.7717783024
83	0.7717783024
84	0.7717783024
85	0.7717783024
86	0.7717783024
87	0.7717783024
88	0.7717783024
89	0.7717783024
90	0.7717783024
91	0.7717783024
92	0.7717783024
93	0.7717783024
94	0.7717783024
95	0.7717783024
96	0.7717783024
97	0.7717783024
98	0.7717783024
99	0.7717783024
100	0.7717783024
101	0.7717783024
102	0.7717783024
103	0.7717783024
104	0.7717783024
105	0.7717783024
106	0.7717783024
107	0.7717783024
108	0.7717783024
109	0.7717783024
110	0.7717783024
111	0.7717783024
112	0.7717783024
113	0.7717783024
114	0.7717783024
115	0.7717783024
116	0.7717783024
