iter	Passed	Remaining
0	0	43
1	0	45
2	1	42
3	1	43
4	1	45
5	2	42
6	2	42
7	3	44
8	3	48
9	6	76
10	8	86
11	31	283
12	53	442
13	76	577
14	99	693
15	121	791
16	146	889
17	171	971
18	195	1036
19	218	1094
20	242	1141
21	248	1106
22	271	1145
23	275	1100
24	298	1132
25	320	1160
26	344	1187
27	368	1211
28	392	1232
29	417	1251
30	423	1215
31	446	1229
32	470	1239
33	493	1248
34	517	1257
35	542	1265
36	566	1270
37	589	1271
38	613	1273
39	636	1272
40	660	1272
41	684	1271
42	685	1228
43	709	1225
44	716	1193
45	739	1190
46	764	1187
47	793	1189
48	817	1184
49	841	1178
50	864	1169
51	887	1160
52	910	1151
53	934	1141
54	957	1131
55	981	1121
56	1004	1110
57	1027	1098
58	1050	1085
59	1072	1072
60	1095	1059
61	1119	1047
62	1143	1034
63	1166	1021
64	1190	1007
65	1213	993
66	1238	979
67	1262	965
68	1285	950
69	1308	934
70	1332	919
71	1355	903
72	1378	887
73	1379	857
74	1402	841
75	1424	824
76	1446	808
77	1448	779
78	1470	763
79	1493	746
80	1516	730
81	1517	703
82	1518	677
83	1519	651
84	1543	635
85	1566	619
86	1588	602
87	1611	585
88	1613	561
89	1635	545
90	1658	528
91	1681	511
92	1704	494
93	1705	471
94	1708	449
95	1730	432
96	1754	415
97	1776	398
98	1799	381
99	1823	364
100	1824	343
101	1846	325
102	1869	308
103	1893	291
104	1895	270
105	1917	253
106	1918	233
107	1941	215
108	1966	198
109	1968	178
110	1993	161
111	2016	144
112	2039	126
113	2061	108
114	2062	89
115	2084	71
116	2106	54
