solution_concentration,polymer_mw,polymer_mn,polymer_dispersity,hole_mobility,solution_treatment,substrate_pretreatment,post_process,channel_width,channel_length,film_deposition_type_drop,film_deposition_type_spin,dielectric_material_SiO2,electrode_configuration_BGBC,electrode_configuration_BGTC,film_deposition_type_MGC,solvent_boiling_point,delta_d,delta_p,delta_h,blend_conjugated_polymer,insulating_polymer,substrate_pretreat_sam,substrate_pretreat_plasma,substrate_pretreat_uv_ozone,solution_treatment_poor_solvent,solution_treatment_aging,solution_treatment_sonication,solution_treatment_mixing,solution_treatment_mixing_multiple,solution_treatment_uv_irradiation,post_process_annealing,post_process_drying,post_process_chemical
10,15.4,10.3,1.5,0.0076,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,20,11.1,1.8,0.00496,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,22,13.8,1.6,0.00948,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,29,19.3,1.5,0.012,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,42,23.3,1.8,0.00529,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,52,22.6,2.3,0.00554,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,76,44.7,1.7,0.00299,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,270,117.4,2.3,0.0081,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,15.4,10.3,1.5,0.0017,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,20,11.1,1.8,0.00149,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,22,13.8,1.6,0.0305,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,29,19.3,1.5,0.0631,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,42,23.3,1.8,0.0775,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,52,22.6,2.3,0.0982,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,76,44.7,1.7,0.1226,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,270,117.4,2.3,0.1435,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
