solution_concentration,polymer_mw,polymer_mn,polymer_dispersity,hole_mobility,solution_treatment,substrate_pretreatment,post_process,channel_width,channel_length,dielectric_thickness,film_deposition_type_drop,film_deposition_type_spin,dielectric_material_SiO2,electrode_configuration_BGBC,electrode_configuration_BGTC,electrode_configuration_TGBC,gate_material_Other,film_deposition_type_MGC,dielectric_material_other,solvent_boiling_point,blend_conjugated_polymer,insulating_polymer,treatment_type_sam,treatment_type_plasma,treatment_type_uv_ozone,solution_treatment_poor_solvent,solution_treatment_aging,solution_treatment_sonication,solution_treatment_mixing,solution_treatment_uv_irradiation
4,299,90,3.32,0.11,0,0,1,1500,80,300,0,1,1,0,1,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0
4,299,90,3.32,0.29,0,1,1,1500,80,300,0,1,1,0,1,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
4,299,90,3.32,0.23,0,1,1,1500,80,300,0,1,1,0,1,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
4,299,90,3.32,0.73,0,1,1,1500,80,300,0,1,1,0,1,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
4,299,90,3.32,1.86,0,1,1,1500,80,300,0,1,1,0,1,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
4,299,90,3.32,0.21,0,1,1,1500,80,300,0,1,1,0,1,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
4,299,90,3.32,0.34,0,1,1,1500,80,300,0,1,1,0,1,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
4,299,90,3.32,0.24,0,1,1,1500,80,300,0,1,1,0,1,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
4,299,90,3.32,1.97,0,1,1,1500,80,300,0,1,1,0,1,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
4,299,90,3.32,0.69,0,1,1,1500,80,300,0,1,1,0,1,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
4,299,90,3.32,2.04,0,1,1,1500,80,300,0,1,1,0,1,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
5,292.2,74.9,3.9,0.81,0,0,1,2000,50,300,0,1,1,1,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0
5,292.2,74.9,3.9,1.53,0,0,1,2000,50,300,0,1,1,1,0,0,0,0,0,62,0,1,0,0,0,0,0,0,0,0
5,292.2,74.9,3.9,0.9,0,0,1,2000,50,300,0,1,1,1,0,0,0,0,0,62,0,1,0,0,0,0,0,0,0,0
5,292.2,74.9,3.9,1.1,0,0,1,2000,50,300,0,1,1,1,0,0,0,0,0,62,0,1,0,0,0,0,0,0,0,0
5,292.2,74.9,3.9,1.25,0,0,1,2000,50,300,0,1,1,1,0,0,0,0,0,62,0,1,0,0,0,0,0,0,0,0
5,292.2,74.9,3.9,1.3,0,0,1,2000,50,300,0,1,1,1,0,0,0,0,0,62,0,1,0,0,0,0,0,0,0,0
5,292.2,74.9,3.9,1.25,0,0,1,2000,50,300,0,1,1,1,0,0,0,0,0,62,0,1,0,0,0,0,0,0,0,0
5,292.2,74.9,3.9,0.9,0,0,1,2000,50,300,0,1,1,1,0,0,0,0,0,62,0,1,0,0,0,0,0,0,0,0
5,292.2,74.9,3.9,0.6,0,0,1,2000,50,300,0,1,1,1,0,0,0,0,0,62,0,1,0,0,0,0,0,0,0,0
5,501,110,4.55,6.85,0,1,1,4000,100,200,0,1,1,0,1,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
5,501,110,4.55,7.25,0,1,1,4000,125,200,0,1,1,0,1,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
5,501,110,4.55,5.75,0,1,1,1400,30,300,0,1,1,1,0,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
5,501,110,4.55,7.95,0,1,1,1400,40,300,0,1,1,1,0,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
5,501,110,4.55,7.85,0,1,1,1400,50,300,0,1,1,1,0,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
5,501,110,4.55,0.15,0,1,1,1400,50,300,0,1,1,1,0,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
5,501,110,4.55,2.1,0,1,1,1400,50,300,0,1,1,1,0,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
5,501,110,4.55,9,0,1,1,1400,50,300,0,1,1,1,0,0,0,0,0,132,0,0,1,0,0,0,0,0,0,0
5,501,110,4.55,4.4,0,1,1,4000,125,200,0,0,1,0,1,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
5,501,110,4.55,2.65,0,1,1,1400,125,200,0,0,1,0,1,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
5,501,110,4.55,3.5,0,1,1,7000,70,800,0,1,0,1,0,0,1,0,1,132,0,0,1,0,0,0,0,0,0,0
4,199,55,3.62,1.16,0,1,1,1500,80,350,0,1,1,0,1,0,0,0,0,180.1,0,0,1,0,0,0,0,0,0,0
4,199,55,3.62,3.39,0,1,1,1500,80,350,0,1,1,0,1,0,0,0,0,180.1,0,1,1,0,0,0,0,0,0,0
4,199,55,3.62,5.8,0,1,1,1500,80,350,0,1,1,0,1,0,0,0,0,180.1,0,1,1,0,0,0,0,0,0,0
4,199,55,3.62,6.76,0,1,1,1500,80,350,0,1,1,0,1,0,0,0,0,180.1,0,1,1,0,0,0,0,0,0,0
4,199,55,3.62,2.57,0,1,1,1500,80,350,0,1,1,0,1,0,0,0,0,180.1,0,1,1,0,0,0,0,0,0,0
4,199,55,3.62,6,0,1,1,1500,80,350,0,1,1,0,1,0,0,0,0,180.1,0,1,1,0,0,0,0,0,0,0
4,199,55,3.62,5,0,1,1,1500,80,350,0,1,1,0,1,0,0,0,0,180.1,0,1,1,0,0,0,0,0,0,0
4,199,55,3.62,4,0,1,1,1500,80,350,0,1,1,0,1,0,0,0,0,180.1,0,1,1,0,0,0,0,0,0,0
3,290,143,2.03,0.0484,0,1,1,1000,30,220,0,1,1,0,1,0,0,0,0,180.1,0,0,1,0,0,0,0,0,0,0
