solution_concentration,polymer_mw,polymer_mn,polymer_dispersity,solution_treatment,substrate_pretreatment,post_process,channel_width,channel_length,film_deposition_type_drop,film_deposition_type_spin,dielectric_material_SiO2,electrode_configuration_BGBC,electrode_configuration_BGTC,film_deposition_type_MGC,solvent_boiling_point,hole_mobility
10,15.4,10.3,1.5,1,1,1,10000,20,0,1,1,1,0,0,62,0.0076
10,20,11.1,1.8,1,1,1,10000,20,0,1,1,1,0,0,62,0.00496
10,22,13.8,1.6,1,1,1,10000,20,0,1,1,1,0,0,62,0.00948
10,29,19.3,1.5,1,1,1,10000,20,0,1,1,1,0,0,62,0.012
10,42,23.3,1.8,1,1,1,10000,20,0,1,1,1,0,0,62,0.00529
10,52,22.6,2.3,1,1,1,10000,20,0,1,1,1,0,0,62,0.00554
10,76,44.7,1.7,1,1,1,10000,20,0,1,1,1,0,0,62,0.00299
10,270,117.4,2.3,1,1,1,10000,20,0,1,1,1,0,0,62,0.0081
10,15.4,10.3,1.5,1,1,1,10000,20,0,1,1,1,0,0,213,0.0017
10,20,11.1,1.8,1,1,1,10000,20,0,1,1,1,0,0,213,0.00149
10,22,13.8,1.6,1,1,1,10000,20,0,1,1,1,0,0,213,0.0305
10,29,19.3,1.5,1,1,1,10000,20,0,1,1,1,0,0,213,0.0631
10,42,23.3,1.8,1,1,1,10000,20,0,1,1,1,0,0,213,0.0775
10,52,22.6,2.3,1,1,1,10000,20,0,1,1,1,0,0,213,0.0982
10,76,44.7,1.7,1,1,1,10000,20,0,1,1,1,0,0,213,0.1226
10,270,117.4,2.3,1,1,1,10000,20,0,1,1,1,0,0,213,0.1435
10,15.4,10.3,1.5,1,1,1,10000,20,1,0,1,1,0,0,62,0.00994
10,20,11.1,1.8,1,1,1,10000,20,1,0,1,1,0,0,62,0.0187
10,22,13.8,1.6,1,1,1,10000,20,1,0,1,1,0,0,62,0.0273
10,29,19.3,1.5,1,1,1,10000,20,1,0,1,1,0,0,62,0.0539
10,42,23.3,1.8,1,1,1,10000,20,1,0,1,1,0,0,62,0.0612
10,52,22.6,2.3,1,1,1,10000,20,1,0,1,1,0,0,62,0.0662
10,76,44.7,1.7,1,1,1,10000,20,1,0,1,1,0,0,62,0.0652
10,270,117.4,2.3,1,1,1,10000,20,1,0,1,1,0,0,62,0.0813
10,76,44.7,1.7,1,1,1,10000,2,0,1,1,1,0,0,62,0.0145
10,76,44.7,1.7,1,1,1,10000,5,0,1,1,1,0,0,62,0.00544
10,76,44.7,1.7,1,1,1,10000,10,0,1,1,1,0,0,62,0.00363
10,76,44.7,1.7,1,1,1,10000,20,0,1,1,1,0,0,62,0.00296
10,29,19.3,1.5,1,1,1,10000,2,0,1,1,1,0,0,62,0.0229
10,29,19.3,1.5,1,1,1,10000,5,0,1,1,1,0,0,62,0.0183
10,29,19.3,1.5,1,1,1,10000,10,0,1,1,1,0,0,62,0.014
10,15.4,10.3,1.5,1,1,1,10000,2,0,1,1,1,0,0,62,0.0171
10,15.4,10.3,1.5,1,1,1,10000,5,0,1,1,1,0,0,62,0.012
10,15.4,10.3,1.5,1,1,1,10000,10,0,1,1,1,0,0,62,0.00993
10,15.4,10.3,1.5,1,1,1,10000,20,0,1,1,1,0,0,62,0.00757
10,29,19.3,1.5,1,1,1,10000,2,0,1,1,1,0,0,213,0.077
10,29,19.3,1.5,1,1,1,10000,5,0,1,1,1,0,0,213,0.068
10,29,19.3,1.5,1,1,1,10000,10,0,1,1,1,0,0,213,0.065
10,15.4,10.3,1.5,1,1,1,10000,2,0,1,1,1,0,0,213,0.00762
10,15.4,10.3,1.5,1,1,1,10000,5,0,1,1,1,0,0,213,0.00381
10,15.4,10.3,1.5,1,1,1,10000,10,0,1,1,1,0,0,213,0.00255
10,76,44.7,1.7,1,1,1,10000,2,0,1,1,1,0,0,213,0.1378
10,76,44.7,1.7,1,1,1,10000,5,0,1,1,1,0,0,213,0.135
10,76,44.7,1.7,1,1,1,10000,10,0,1,1,1,0,0,213,0.1253
5,91.481,40.3,2.27,0,0,0,2000,50,0,1,1,1,0,0,62,0.00423
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,62,0.00793
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,62,0.0107
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,62,0.0165
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,62,0.0101
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,62,0.00892
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,62,0.0047
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,62,0.00406
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,62,0.00214
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,62,0.00228
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,62,0.00279
5,91.481,40.3,2.27,0,0,0,2000,50,0,1,1,1,0,0,132,0.000556
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,132,0.000413
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,132,0.000426
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,132,0.000254
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,132,0.000309
5,91.481,40.3,2.27,1,0,0,2000,50,0,1,1,1,0,0,132,0.000377
5,207,90,2.3,0,0,0,2000,50,0,1,1,1,0,0,62,0.03522
5,207,90,2.3,1,0,0,2000,50,0,1,1,1,0,0,62,0.05182
5,207,90,2.3,1,0,0,2000,50,0,1,1,1,0,0,62,0.05468
5,207,90,2.3,1,0,0,2000,50,0,1,1,1,0,0,62,0.10343
5,207,90,2.3,1,0,0,2000,50,0,1,1,1,0,0,62,0.0539
5,207,90,2.3,1,0,0,2000,50,0,1,1,1,0,0,62,0.02093
5,207,90,2.3,1,0,0,2000,50,0,1,1,1,0,0,62,0.01123
5,4.4,4,1.1,0,1,0,40000,5,0,1,1,1,0,0,62,0.00000543
5,10.8,9,1.2,0,1,0,40000,5,0,1,1,1,0,0,62,0.0003558
5,13.92,11.6,1.2,0,1,0,40000,5,0,1,1,1,0,0,62,0.000735
5,50.7,33.8,1.5,0,1,0,40000,5,0,1,1,1,0,0,62,0.00748
5,5.98,4.6,1.3,0,1,0,40000,5,0,1,1,1,0,0,62,0.0000161
5,24.12,13.4,1.8,0,1,0,40000,5,0,1,1,1,0,0,62,0.0005366
5,56.62,29.8,1.9,0,1,0,40000,5,0,1,1,1,0,0,62,0.00419
5,62.05,36.5,1.7,0,1,0,40000,5,0,1,1,1,0,0,62,0.00908
5,4.48,3.2,1.4,0,1,0,40000,5,0,1,1,1,0,0,62,0.00000174
5,19.44,16.2,1.2,0,1,0,40000,5,0,1,1,1,0,0,62,0.00785
5,43.54,31.1,1.4,0,1,0,40000,5,0,1,1,1,0,0,62,0.00767
2,48.96,24,2.04,1,1,0,800,20,1,0,1,1,0,0,138,0.0239
2,48.96,24,2.04,1,1,0,800,20,1,0,1,1,0,0,111,0.0305
2,48.96,24,2.04,1,1,0,800,20,1,0,1,1,0,0,145,0.0335
2,48.96,24,2.04,1,1,0,800,20,1,0,1,1,0,0,80,0.0145
15,5.1,5.1,1,0,1,0,148500,100,0,1,1,0,1,0,62,0.0000458
15,11.3,11.3,1,0,1,0,148500,100,0,1,1,0,1,0,62,0.019
15,18.6,18.6,1,0,1,0,148500,100,0,1,1,0,1,0,62,0.016
15,6.608,5.6,1.18,0,1,0,148500,100,0,1,1,0,1,0,62,0.00000123
15,20.424,13.8,1.48,0,1,0,148500,100,0,0,1,0,1,1,62,0.000609
15,25.65,19,1.35,0,1,0,148500,100,0,0,1,0,1,1,62,0.0106
1,37.74,25.5,1.48,0,0,0,1000,7.5,0,1,1,1,0,0,213,0.023
1,37.74,25.5,1.48,0,0,0,1000,7.5,0,1,1,1,0,0,138,0.015
1,37.74,25.5,1.48,0,0,0,1000,7.5,0,1,1,1,0,0,62,0.0011
1,37.74,25.5,1.48,0,1,0,1000,7.5,0,1,1,1,0,0,62,0.0016
1,37.74,25.5,1.48,0,0,0,1000,7.5,0,0,1,1,0,1,213,0.0024
1,37.74,25.5,1.48,0,0,0,1000,7.5,0,0,1,1,0,1,138,0.015
1,37.74,25.5,1.48,0,0,0,1000,7.5,0,0,1,1,0,1,62,0.085
1,37.74,25.5,1.48,0,1,0,1000,7.5,0,0,1,1,0,1,62,0.15
0.1,37.74,25.5,1.48,0,0,0,1000,7.5,1,0,1,1,0,0,213,0.00015
0.1,37.74,25.5,1.48,0,0,0,1000,7.5,1,0,1,1,0,0,138,0.0014
0.1,37.74,25.5,1.48,0,0,0,1000,7.5,1,0,1,1,0,0,62,0.021
0.1,37.74,25.5,1.48,0,1,0,1000,7.5,1,0,1,1,0,0,62,0.0023
0.1,37.74,25.5,1.48,0,1,1,1000,7.5,1,0,1,1,0,0,62,0.25
2,2.755,1.9,1.45,0,1,0,9000,20,0,1,1,1,0,0,62,0.0000486
2,11.592,5.6,2.07,0,1,0,9000,20,0,1,1,1,0,0,62,0.000551
2,21.384,10.8,1.98,0,1,0,9000,20,0,1,1,1,0,0,62,0.00399
2,60.75,27,2.25,0,1,0,9000,20,0,1,1,1,0,0,62,0.0229
1,2.755,1.9,1.45,0,0,0,9000,20,0,0,1,1,0,1,62,0.000114
1,11.592,5.6,2.07,0,0,0,9000,20,0,0,1,1,0,1,62,0.000912
1,21.384,10.8,1.98,0,0,0,9000,20,0,0,1,1,0,1,62,0.00687
1,60.75,27,2.25,0,0,0,9000,20,0,0,1,1,0,1,62,0.017
0.5,1.4279,1.09,1.31,1,1,0,9000,20,1,0,1,1,0,0,62,0.0000146
0.5,2.755,1.9,1.45,1,1,0,9000,20,1,0,1,1,0,0,62,0.0000343
0.5,11.592,5.6,2.07,1,1,0,9000,20,1,0,1,1,0,0,62,0.000709
0.5,21.384,10.8,1.98,1,1,0,9000,20,1,0,1,1,0,0,62,0.00414
0.5,60.75,27,2.25,1,1,0,9000,20,1,0,1,1,0,0,62,0.0364
4,47.7,24,1.9875,1,1,0,2000,50,0,1,0,1,0,0,62,0.000202
4,47.7,24,1.9875,1,1,0,2000,50,0,1,0,1,0,0,62,0.00719
4,47.7,24,1.9875,1,1,0,2000,50,0,1,0,1,0,0,62,0.0294
4,47.7,24,1.9875,1,1,0,2000,50,0,1,0,1,0,0,62,0.0506
4,47.7,24,1.9875,1,1,0,2000,50,0,1,0,1,0,0,62,0.0306
4,47.7,24,1.9875,1,1,0,2000,50,0,1,0,1,0,0,62,0.0361
4,47.7,24,1.9875,1,1,0,2000,50,0,1,0,1,0,0,62,0.0153
3.5,47.7,24,1.9875,1,1,1,2000,50,0,1,0,1,0,0,62,0.0273
3.5,47.7,24,1.9875,1,1,1,2000,50,0,0,0,1,0,1,62,0.0494
3.5,47.7,24,1.9875,1,1,1,2000,50,0,1,0,1,0,0,62,0.00116
3.5,47.7,24,1.9875,1,1,1,2000,50,0,0,0,1,0,1,62,0.00345
3.5,23,12.7,1.811023622,1,1,1,2000,50,0,1,0,1,0,0,62,0.0608
3.5,23,12.7,1.811023622,1,1,1,2000,50,0,0,0,1,0,1,62,0.0436
3.5,23,12.7,1.811023622,1,1,1,2000,50,0,1,0,1,0,0,62,0.0205
3.5,23,12.7,1.811023622,1,1,1,2000,50,0,0,0,1,0,1,62,0.0148
3.5,70,35,2,1,1,0,500,30,0,1,0,0,1,0,111,0.00368
3.5,70,35,2,1,1,0,500,30,0,1,0,0,1,0,111,0.00135
3.5,70,35,2,1,1,0,500,30,0,1,0,0,1,0,111,0.000629
3.5,70,35,2,1,1,0,500,30,0,1,0,0,1,0,111,0.000871
3.5,70,35,2,1,1,0,500,30,0,1,0,0,1,0,111,0.00102
3.5,163.2,68,2.4,1,1,0,500,30,0,1,0,0,1,0,111,0.00102
3.5,163.2,68,2.4,1,1,0,500,30,0,1,0,0,1,0,111,0.00305
3.5,163.2,68,2.4,1,1,0,500,30,0,1,0,0,1,0,111,0.00803
3.5,163.2,68,2.4,1,1,0,500,30,0,1,0,0,1,0,111,0.00953
3.5,163.2,68,2.4,1,1,0,500,30,0,1,0,0,1,0,111,0.00915
6,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.008397
0.5,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.00272
1,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.0023
2,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.002395
3,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.00436
4,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.0044589
10,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.00689
1,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.00605
2,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.0127
3,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.0081145
5,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.1039
8,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,1.6514
10,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.17518
12,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.187
15,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.15
10,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.011071463
10,74,33.63,2.2,1,1,0,50,2000,0,0,0,1,0,1,62,0.120522954
5,51,24,2.1,1,1,0,1000,30,0,1,0,0,0,0,62,0.05817
5,51,24,2.1,1,1,0,1000,30,0,1,0,0,0,0,62,0.0263
5,77.5,26,2.95,1,1,0,1000,30,0,1,0,0,0,0,132,0
5,71,32.27,2.2,1,1,0,50,2000,0,1,0,1,0,0,62,0.013
5,71,32.27,2.2,1,1,0,50,2000,0,1,0,1,0,0,62,0.0867
5,71,32.27,2.2,1,1,0,50,2000,0,1,0,1,0,0,62,0.149
5,71,32.27,2.2,1,1,0,50,2000,0,1,0,1,0,0,62,0.1113
5,71,32.27,2.2,1,1,0,50,2000,0,1,0,1,0,0,62,0.0225
5,71,32.27,2.2,1,1,0,50,2000,0,1,0,1,0,0,62,0.1016
5,71,32.27,2.2,1,1,0,50,2000,0,1,0,1,0,0,62,0.0905
5,71,32.27,2.2,1,1,0,50,2000,0,1,0,1,0,0,62,0.1091
5,71,32.27,2.2,1,1,0,50,2000,0,1,0,1,0,0,62,0.0894
5,71,32.27,2.2,1,1,0,50,2000,0,1,0,1,0,0,62,0.013
5,104,47.27,2.2,1,1,1,50,2000,0,0,0,1,0,1,62,0.1389
5,104,47.27,2.2,1,1,1,50,2000,0,0,0,1,0,1,62,0.1089
5,104,47.27,2.2,1,1,1,50,2000,0,0,0,1,0,1,62,0.0644
5,104,47.27,2.2,1,1,1,50,2000,0,0,0,1,0,1,62,0.0487
5,41,20.5,2,1,1,1,50,2000,0,0,0,1,0,1,62,0.04279
5,41,20.5,2,1,1,1,50,2000,0,0,0,1,0,1,62,0.1017
5,41,20.5,2,1,1,1,50,2000,0,0,0,1,0,1,62,0.08305
5,41,20.5,2,1,1,1,50,2000,0,0,0,1,0,1,62,0.0648
5,66,33,2,1,1,1,50,2000,0,0,0,1,0,1,62,0.09067
5,66,33,2,1,1,1,50,2000,0,0,0,1,0,1,62,0.135
5,66,33,2,1,1,1,50,2000,0,0,0,1,0,1,62,0.1042
5,66,33,2,1,1,1,50,2000,0,0,0,1,0,1,62,0.125
5,129.6,54,2.4,0,1,1,1000,100,0,1,0,0,1,0,62,0.03
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.004
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.01
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.022
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.02
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.02
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.035
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.044
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.042
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.019
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.023
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.03
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.032
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.018
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.026
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.021
5,69,34.6,2,1,1,1,2000,50,0,1,0,1,0,0,62,0.019
5,43.7,19.7,2.22,1,1,1,2000,50,0,1,0,1,0,0,62,0.023
5,43.7,19.7,2.22,1,1,1,2000,50,0,1,0,1,0,0,62,0.069
5,43.7,19.7,2.22,1,1,1,2000,50,0,1,0,1,0,0,62,0.081
5,43.7,19.7,2.22,1,1,1,2000,50,0,1,0,1,0,0,62,0.091
5,43.7,19.7,2.22,1,1,1,2000,50,0,1,0,1,0,0,62,0.085
5,43.7,19.7,2.22,1,1,1,2000,50,0,1,0,1,0,0,62,0.09
5,43.7,19.7,2.22,1,1,1,2000,50,0,1,0,1,0,0,62,0.102
5,43.7,19.7,2.22,1,1,1,2000,50,0,1,0,1,0,0,62,0.12
5,43.7,19.7,2.22,1,1,1,2000,50,0,1,0,1,0,0,62,0.072
5,43.7,19.7,2.22,1,1,1,2000,50,0,1,0,1,0,0,62,0.094
5,43.7,19.7,2.22,1,1,1,2000,50,0,1,0,1,0,0,62,0.101
5,43.7,19.7,2.22,1,1,1,2000,50,0,1,0,1,0,0,62,0.111
5,43.7,19.7,2.22,1,1,1,2000,50,0,1,0,1,0,0,62,0.051
